forecast_hour,model,n_station_weeks,mae_improvement_ug_m3,ci95_lower_ug_m3,ci95_upper_ug_m3,bootstrap_replicates
3,climatology,945,1.7051214411690603,-0.0010130920886872667,3.20338759133283,1000
3,raw_cams,945,2.5970622069314255,1.293889567626984,3.8298397974893184,1000
3,obs_lgbm,945,4.7172568203315235,3.4568863788647897,5.983428300317436,1000
3,cams_lgbm,945,5.006492277233279,3.765806898704248,6.233535981265069,1000
3,cams_xgboost,945,5.012958222542521,3.6901606577248467,6.233528239917714,1000
3,champion,945,5.006492277233279,3.7937532309920257,6.291199130889906,1000
6,climatology,943,5.2615264101398775,4.123009878553754,6.434939895470382,1000
6,raw_cams,943,6.532642466734088,5.4733062234618055,7.6043466967120485,1000
6,obs_lgbm,943,7.955272218151394,6.862334891938607,9.08799254226513,1000
6,cams_lgbm,943,8.344851866859866,7.188730178336067,9.566805926567733,1000
6,cams_xgboost,943,8.367668994881555,7.183855118056695,9.634253899564223,1000
6,champion,943,8.344851866859866,7.264656336350101,9.59030217885416,1000
12,climatology,944,4.3461719380548836,3.255819492786521,5.581160276054278,1000
12,raw_cams,944,-0.3797362294855225,-1.7302382505756417,1.1676565121797302,1000
12,obs_lgbm,944,6.639950495440526,5.5265474076883985,7.936136253424605,1000
12,cams_lgbm,944,6.8778027259071415,5.737487676804534,8.136239820352946,1000
12,cams_xgboost,944,6.838655567945036,5.786490853608992,8.11889561357333,1000
12,champion,944,6.8778027259071415,5.770309105269949,8.139037251590835,1000
24,climatology,943,-1.323640231278089,-2.652978361864364,-0.20257479927283742,1000
24,raw_cams,943,-4.886136552021251,-5.874312749996468,-4.027309028976102,1000
24,obs_lgbm,943,1.7688234153552798,1.0378914554869108,2.370682118822032,1000
24,cams_lgbm,943,1.7763092728392835,0.9334758894854465,2.4378673100356,1000
24,cams_xgboost,943,1.7144034793546317,0.8406486277431932,2.391985479039305,1000
24,champion,943,1.7763092728392835,1.0200546995938908,2.453219663308876,1000
48,climatology,941,-0.17124133394058985,-1.6879614645007843,1.179600519963564,1000
48,raw_cams,941,-4.2221404151929525,-5.325929785633747,-3.181007621296333,1000
48,obs_lgbm,941,1.98724961575103,0.9160036855984812,2.991507088250573,1000
48,cams_lgbm,941,2.035046276420637,1.002882434238754,3.0633919690107887,1000
48,cams_xgboost,941,2.053248509144917,0.9525693637384444,3.0260854402698976,1000
48,champion,941,2.035046276420637,0.9864790303739437,3.0994683344623515,1000
72,climatology,941,0.49540686200091116,-0.9322572681038405,1.8287374690046048,1000
72,raw_cams,941,-4.223920380508616,-5.477345564126357,-2.882582277742483,1000
72,obs_lgbm,941,2.278614003769346,1.0677193919390582,3.5042349875708934,1000
72,cams_lgbm,941,2.375598141866807,1.1165747671711306,3.5065640622681777,1000
72,cams_xgboost,941,2.2625632358908825,1.0102982040341402,3.4233784670387646,1000
72,champion,941,2.375598141866807,1.1639793803952867,3.500087403246465,1000
