split,forecast_hour,n_common_rows,n_station_weeks,cams_mae_improvement_over_obs_ml_ug_m3,relative_improvement_over_obs_ml_pct,ci95_lower_ug_m3,ci95_upper_ug_m3,bootstrap_probability_positive_pct,bootstrap_replicates
validation,3,8743,1356,0.06096614751853804,1.1822032297348792,0.029782698723030004,0.08922812274596491,100.0,1000
validation,6,8631,1355,0.15667256334023658,3.4995731715008764,0.11775550891277285,0.1927976873807426,100.0,1000
validation,12,8917,1354,0.12345665206368593,1.2575524341103472,0.0711786559539717,0.1778621332075621,100.0,1000
validation,24,8842,1354,0.04916595873829418,0.6425019007272706,-0.009716007489124708,0.10822405422394656,94.8,1000
validation,48,8843,1354,0.024901195175062014,0.31124196231696144,-0.03825099244822203,0.08681298876955179,78.5,1000
validation,72,8842,1354,-0.01618810532093303,-0.1977091868968854,-0.09093094331159468,0.04848039933539022,31.0,1000
validation,all,52818,1356,0.06536416473059051,0.9052977435711083,0.03420407004227168,0.09796778719808422,100.0,1000
test,3,6050,945,0.29454912728029203,3.338680442871624,0.19446902535502814,0.3940061853045474,100.0,1000
test,6,5905,944,0.39019075745095866,5.4295166980694125,0.28582237302201735,0.488787688509517,100.0,1000
test,12,6108,944,0.23953115716126924,2.1659872854199693,0.16515292070088666,0.3147205656774487,100.0,1000
test,24,6084,945,0.01232354371275485,0.10516640045836904,-0.17922402888789032,0.18394996991193052,56.00000000000001,1000
test,48,6084,945,0.04503893210964779,0.3569376552170422,-0.05746159734934015,0.14305253964765186,82.89999999999999,1000
test,72,6084,945,0.08909733518683528,0.6840296750931383,-0.03321428891706515,0.222312784746421,92.80000000000001,1000
test,all,36315,945,0.17774287327020558,1.645007133907,0.11947585857369704,0.24204071386001677,100.0,1000
