n,stations,minimum_rows_per_station,station_balanced_mae_ug_m3,persistence_station_balanced_mae_ug_m3,frozen_station_balanced_mae_ug_m3,skill_vs_10utc_persistence_pct,skill_vs_frozen_pct,mean_per_station_skill_vs_persistence_pct,stations_harmed_vs_persistence,stations_harmed_vs_frozen,forecast_hour,event_scope,model,interval_coverage_pct
5756,27,73,12.429479177624765,12.429479177624765,10.424872772910907,0.0,-19.22907308684705,0.0,0,23,12,all_common_cases,persistence_10utc,
5756,27,73,16.802912081000184,12.429479177624765,10.424872772910907,-35.18597071427065,-61.18097982608142,-48.95784529254057,25,27,12,all_common_cases,persistence_00utc,
5756,27,73,12.739260403171253,12.429479177624765,10.424872772910907,-2.4923105877529217,-22.200631899070224,-10.085005028988965,15,26,12,all_common_cases,climatology_training_only,
5756,27,73,17.686219450238223,12.429479177624765,10.424872772910907,-42.29252245803274,-69.65405559860613,-58.07946487248868,23,27,12,all_common_cases,raw_cams,
5756,27,73,10.424872772910907,12.429479177624765,10.424872772910907,16.127839115918064,0.0,11.591708597882677,4,0,12,all_common_cases,frozen_deployment,
5756,27,73,10.472862308141828,12.429479177624765,10.424872772910907,15.741744617949804,-0.46033689116686816,11.758752675843807,5,15,12,all_common_cases,frozen_deployment_missing_met,
5756,27,73,10.545101596211714,12.429479177624765,10.424872772910907,15.160551415583534,-1.1532881591919342,10.351204257069522,6,21,12,all_common_cases,all_features_00utc_expanding,
5756,27,73,10.6351054155375,12.429479177624765,10.424872772910907,14.436435641788204,-2.0166446843637553,10.107868008978981,7,20,12,all_common_cases,all_features_00utc_missing_met,
5756,27,73,10.33322955087633,12.429479177624765,10.424872772910907,16.865144522885966,0.8790824025470378,12.05190188685174,4,12,12,all_common_cases,no_met_00utc_expanding,
5756,27,73,9.671485534754515,12.429479177624765,10.424872772910907,22.18913281447159,7.226824293856837,18.941728288740634,2,3,12,all_common_cases,no_met_10utc_expanding,77.3453787352328
767,27,11,32.80849592518616,32.80849592518616,29.747266355418155,0.0,-10.290792885613943,0.0,0,20,12,training_p90_high_events,persistence_10utc,
767,27,11,39.86833115547482,32.80849592518616,29.747266355418155,-21.5183141780938,-34.023512208251084,-39.37362219779818,17,24,12,training_p90_high_events,persistence_00utc,
767,27,11,40.63869018133793,32.80849592518616,29.747266355418155,-23.866361548566918,-36.61319227047568,-41.369336611883824,23,26,12,training_p90_high_events,climatology_training_only,
767,27,11,42.25793441778703,32.80849592518616,29.747266355418155,-28.801803393086356,-42.05653021320457,-35.39820971220303,18,22,12,training_p90_high_events,raw_cams,
767,27,11,29.747266355418155,32.80849592518616,29.747266355418155,9.330600149267987,0.0,5.198176021521641,7,0,12,training_p90_high_events,frozen_deployment,
767,27,11,31.28797620609987,32.80849592518616,29.747266355418155,4.634530405031545,-5.179332555379812,0.47657167042708326,11,25,12,training_p90_high_events,frozen_deployment_missing_met,
767,27,11,30.32071438775779,32.80849592518616,29.747266355418155,7.582735713033917,-1.927733545288235,3.46161972920902,9,18,12,training_p90_high_events,all_features_00utc_expanding,
767,27,11,31.647895716802058,32.80849592518616,29.747266355418155,3.537498979016407,-6.389257213336252,-0.3107896508809097,13,25,12,training_p90_high_events,all_features_00utc_missing_met,
767,27,11,29.34358654852399,32.80849592518616,29.747266355418155,10.561012563828786,1.3570316077821332,5.114133668762035,8,11,12,training_p90_high_events,no_met_00utc_expanding,
767,27,11,27.313182439462757,32.80849592518616,29.747266355418155,16.749665995827634,8.182546546876413,13.986778461203698,4,3,12,training_p90_high_events,no_met_10utc_expanding,36.89700130378096
5675,27,72,14.378438948340353,14.378438948340353,10.903690316602857,0.0,-31.867638669511344,0.0,0,27,24,all_common_cases,persistence_10utc,
5675,27,72,13.275717095482836,14.378438948340353,10.903690316602857,7.669273812125477,-21.754348390362253,7.013788105628314,10,26,24,all_common_cases,persistence_00utc,
