fold,forecast_hour,fit_seconds_all_variants,all_features_best_iteration,no_met_00_best_iteration,no_met_10_best_iteration,fit_rows_10utc,tune_rows_10utc,calibration_rows_10utc,assessment_rows_common
1,12,10.99070335298893,276,148,262,26059,738,733,1486
1,24,7.420616375980899,134,135,142,25828,727,719,1478
1,48,6.968991831003223,88,111,218,25799,727,719,1478
1,72,9.639111064025201,128,117,348,25770,727,719,1478
2,12,6.293210862000706,102,97,112,27530,781,705,1514
2,24,14.103665011993144,318,403,273,27274,780,698,1491
2,48,10.263215546990978,224,219,239,27245,780,698,1491
2,72,11.80400467198342,199,277,436,27216,780,698,1491
3,12,6.058132362988545,59,151,81,29016,763,751,1502
3,24,13.271996422990924,263,271,398,28752,760,731,1489
3,48,9.302614107989939,185,141,197,28723,760,731,1489
3,72,9.593616875004955,199,155,187,28694,760,731,1489
4,12,18.05100727302488,293,507,791,30530,757,745,1606
4,24,11.733805500989547,365,141,135,30243,749,740,1626
4,48,7.172555395984091,125,102,114,30214,749,740,1626
4,72,7.131951542018214,116,121,89,30185,749,740,1626
