forecast_hour,remaining_horizon_hours,event_scope,interval_version,n,coverage_pct,mean_width_ug_m3,mean_interval_score_ug_m3
12,2,all_common_cases,symmetric_v1,5756,77.3453787352328,24.339033270126958,59.397042588906004
12,2,all_common_cases,input_scaled_v2,5756,81.84503127171648,30.94024458690777,53.048952440954864
12,2,training_p90_high_events,symmetric_v1,767,36.89700130378096,26.752777029939615,205.46019715054905
12,2,training_p90_high_events,input_scaled_v2,767,53.976531942633635,54.14250961647341,166.63727773978573
24,14,all_common_cases,symmetric_v1,5675,74.7488986784141,21.965810102721264,71.05867806831202
24,14,all_common_cases,input_scaled_v2,5675,79.62995594713657,28.921819005289397,61.65196291262325
24,14,training_p90_high_events,symmetric_v1,886,38.82618510158014,24.82748524650042,263.1423700970502
24,14,training_p90_high_events,input_scaled_v2,886,52.144469525959366,50.565472624448525,216.22450984634156
48,38,all_common_cases,symmetric_v1,5627,74.88892838102008,23.686354204576283,76.20059540064008
48,38,all_common_cases,input_scaled_v2,5627,79.42065043540074,30.07797222800955,68.36975888426346
48,38,training_p90_high_events,symmetric_v1,880,36.02272727272727,27.184251555064765,292.62675040227055
48,38,training_p90_high_events,input_scaled_v2,880,47.72727272727273,48.95664377696765,254.6244958568631
72,62,all_common_cases,symmetric_v1,5612,74.91090520313614,24.117667710009982,79.21018813601991
72,62,all_common_cases,input_scaled_v2,5612,79.66856735566643,30.9843720118726,72.67651923152874
72,62,training_p90_high_events,symmetric_v1,882,34.24036281179138,27.231034646253434,311.0063000305288
72,62,training_p90_high_events,input_scaled_v2,882,43.53741496598639,47.46366145125791,276.06757913718957
