fold,forecast_hour,calibration_rows,best_iteration,adaptive_interval_coefficient
1,12,733,262,0.5632766420804768
1,24,719,142,0.5127445344259332
1,48,719,218,0.5204503259679633
1,72,719,348,0.5479071822249227
2,12,705,112,0.5330362792947597
2,24,698,273,0.5951963712985434
2,48,698,239,0.6054334136611705
2,72,698,436,0.6361123243390459
3,12,751,81,0.6402675469149877
3,24,731,398,0.5459838530850873
3,48,731,197,0.56576390430074
3,72,731,187,0.6063437867482921
4,12,745,791,0.5224894104035213
4,24,740,135,0.5031465382967171
4,48,740,114,0.570397327486295
4,72,740,89,0.6005995979626949
