station_code,station_name,source_file,start_utc,end_utc,source_rows,unique_station_hours,expected_hours_within_span,absent_hours_within_span,temporal_coverage_pct,maximum_gap_hours,timestamp_parse_failures,invalid_hour_rows,duplicate_rows_affected,duplicate_rows_removed,valid_pm25,valid_pm25_pct_of_source_rows,negative_pm25,pm25_at_or_above_985,invalid_relative_humidity,invalid_temperature,valid_pm25_pct_of_expected_hours
BANJARBARU2,Banjarbaru,banjarbaru.csv,2021-09-08T16:00:00+00:00,2026-08-31T23:00:00+00:00,43406,43406,43640,234,99.46379468377636,126.0,0,0,0,0,42840,98.69603280652444,86,480,50,0,98.16681943171402
BATAM2,Batam,batam.csv,2021-09-14T17:00:00+00:00,2026-08-31T23:00:00+00:00,43203,43203,43495,292,99.3286584664904,52.0,0,0,0,0,42596,98.59500497650626,104,503,1,0,97.93309575813312
BENGKULU,Bengkulu,bengkulu.csv,2021-08-19T19:00:00+00:00,2026-08-31T23:00:00+00:00,43544,43541,44117,576,98.69438085091915,108.0,0,0,6,3,41206,94.63071835384898,1480,858,0,0,93.39483645760137
INDRAPURI2,Indrapuri,indrapuri.csv,2021-10-04T00:00:00+00:00,2026-08-31T23:00:00+00:00,42279,42275,43032,757,98.24084402305262,495.0,0,0,8,4,40277,95.26478866576788,1297,705,0,0,93.58849228481131
KEMAYORAN3,Kemayoran,kemayoran.csv,2021-08-25T04:00:00+00:00,2026-08-31T23:00:00+00:00,43207,43203,43988,785,98.21542238792398,214.0,0,0,8,4,42488,98.33591779109867,72,647,0,0,96.58088569609893
JAMBI3,Kota Jambi,kota_jambi.csv,2021-01-01T00:00:00+00:00,2026-08-31T23:00:00+00:00,47180,47177,49656,2479,95.00765265023361,504.0,0,0,6,3,46088,97.68545994065282,301,791,2,0,92.80852263573385
KOTABARU,Kotabaru,kotabaru.csv,2021-10-09T23:00:00+00:00,2026-08-31T23:00:00+00:00,42839,42837,42889,52,99.87875679078552,35.0,0,0,4,2,40601,94.77578841709658,2096,142,0,0,94.6606355942083
KOTOTABANG2,Koto Tabang,kototabang.csv,2021-09-24T06:00:00+00:00,2026-08-31T23:00:00+00:00,41464,41461,43266,1805,95.82813294503768,867.0,0,0,6,3,37064,89.38838510515146,4015,385,23,3662,85.65848472241483
SUPADIO,Kubu Raya,kubu_raya.csv,2021-09-09T05:00:00+00:00,2026-08-31T23:00:00+00:00,43171,43171,43627,456,98.95477571228827,155.0,0,0,0,0,42717,98.94836811748627,264,190,0,0,97.91413574162789
PALU,Lore Lindu Bariri,lore_lindu.csv,2021-01-23T00:00:00+00:00,2026-08-31T23:00:00+00:00,23925,23925,49128,25203,48.69931607230093,14491.0,0,0,0,0,20907,87.38557993730407,1122,1896,0,0,42.556179775280896
