model,forecast_hour,feature,gain_or_split_importance,normalized_importance_pct
cams_lgbm,3,pm25_lag_0h,552.0,4.23963133640553
cams_lgbm,3,pm25_lag_1h,250.0,1.9201228878648233
cams_lgbm,3,pm25_lag_2h,207.0,1.5898617511520738
cams_lgbm,3,pm25_lag_3h,257.0,1.9738863287250383
cams_lgbm,3,pm25_lag_6h,286.0,2.196620583717358
cams_lgbm,3,pm25_lag_12h,339.0,2.6036866359447006
cams_lgbm,3,pm25_lag_24h,320.0,2.457757296466974
cams_lgbm,3,pm25_lag_48h,323.0,2.4807987711213517
cams_lgbm,3,pm25_lag_72h,361.0,2.772657450076805
cams_lgbm,3,pm25_lag_168h,353.0,2.7112135176651306
cams_lgbm,3,rh_lag_0h,134.0,1.0291858678955452
cams_lgbm,3,temperature_lag_0h,229.0,1.758832565284178
cams_lgbm,3,rh_lag_1h,107.0,0.8218125960061444
cams_lgbm,3,temperature_lag_1h,164.0,1.2596006144393241
cams_lgbm,3,rh_lag_3h,116.0,0.890937019969278
cams_lgbm,3,temperature_lag_3h,169.0,1.2980030721966205
cams_lgbm,3,rh_lag_6h,150.0,1.152073732718894
cams_lgbm,3,temperature_lag_6h,127.0,0.9754224270353302
cams_lgbm,3,rh_lag_12h,248.0,1.9047619047619047
cams_lgbm,3,temperature_lag_12h,308.0,2.3655913978494625
cams_lgbm,3,rh_lag_24h,123.0,0.9447004608294931
cams_lgbm,3,temperature_lag_24h,302.0,2.3195084485407067
cams_lgbm,3,pm25_mean_3h,163.0,1.251920122887865
cams_lgbm,3,pm25_std_3h,260.0,1.9969278033794162
cams_lgbm,3,pm25_max_3h,136.0,1.044546850998464
cams_lgbm,3,pm25_available_fraction_3h,0.0,0.0
cams_lgbm,3,pm25_mean_6h,200.0,1.5360983102918586
cams_lgbm,3,pm25_std_6h,237.0,1.8202764976958525
cams_lgbm,3,pm25_max_6h,132.0,1.0138248847926268
cams_lgbm,3,pm25_available_fraction_6h,1.0,0.007680491551459293
cams_lgbm,3,pm25_mean_12h,190.0,1.4592933947772657
cams_lgbm,3,pm25_std_12h,263.0,2.0199692780337943
cams_lgbm,3,pm25_max_12h,152.0,1.1674347158218126
cams_lgbm,3,pm25_available_fraction_12h,3.0,0.02304147465437788
cams_lgbm,3,pm25_mean_24h,498.0,3.824884792626728
cams_lgbm,3,pm25_std_24h,452.0,3.471582181259601
