n,mae_ug_m3,rmse_ug_m3,bias_ug_m3,correlation,r2,split,forecast_hour,model,scope,skill_vs_persistence_pct,n_stations
5918,13.028709023318688,29.51626856217438,6.055407232173031,0.6422474358802067,0.24762608690291665,test,3,persistence,pooled_common_cases,0.0,
5918,10.702424805677595,33.40409600673301,-4.5790892193308546,0.24108320560971602,0.036370095902194755,test,3,climatology,pooled_common_cases,17.85506310316338,
5918,10.09555520697674,26.812649040331078,-5.599753696558211,0.6961859010360613,0.37914487616381753,test,3,raw_cams,pooled_common_cases,22.513004251551017,
5918,7.988758396474708,27.610354890241183,-2.968636693368712,0.6385448976142017,0.34165309194696925,test,3,obs_lgbm,pooled_common_cases,38.68342303004475,
5918,7.757036104438601,26.885640216998294,-2.3577415417625036,0.6597133644023258,0.3757600089421723,test,3,cams_lgbm,pooled_common_cases,40.46197447072374,
5918,7.751620269575085,26.527735274561373,-2.0549241592248335,0.6738059815264289,0.3922693044998482,test,3,cams_xgboost,pooled_common_cases,40.50354293966277,
5918,7.757036104438601,26.885640216998294,-2.3577415417625036,0.6597133644023258,0.3757600089421723,test,3,champion,pooled_common_cases,40.46197447072374,
5918,7.763110527933,26.74097450359923,-2.2613812886541726,0.6634939796648551,0.38245973148719525,test,3,prediction_q50,pooled_common_cases,40.41535109857284,
5753,14.621032504780112,30.83884624438285,9.817277941943335,0.5707298505766881,-0.5571239572379334,test,6,persistence,pooled_common_cases,0.0,
5753,9.189440292021553,23.939088129372095,-3.787302277072831,0.297243370631676,0.0616990622502428,test,6,climatology,pooled_common_cases,37.14916994393377,
5753,8.098007842557386,16.443198257471234,-1.0804859595651173,0.7554611075669521,0.5573101856738405,test,6,raw_cams,pooled_common_cases,44.6139809899891,
5753,6.753135680642637,18.602187925215624,-2.342825263866823,0.709169605163025,0.4334281431443793,test,6,obs_lgbm,pooled_common_cases,53.8121833842117,
5753,6.430947120288765,17.764116947617147,-1.6463316272157889,0.729564544087816,0.48332887553949366,test,6,cams_lgbm,pooled_common_cases,56.01577988294417,
5753,6.433165837544348,17.632727569173294,-1.35876909504139,0.7325184127388555,0.4909435571590762,test,6,cams_xgboost,pooled_common_cases,56.00060505001183,
5753,6.430947120288765,17.764116947617147,-1.6463316272157889,0.729564544087816,0.48332887553949366,test,6,champion,pooled_common_cases,56.01577988294417,
5753,6.448455306346335,17.773749197249305,-1.5533372885163244,0.7261177587283328,0.48276841373613977,test,6,prediction_q50,pooled_common_cases,55.89603330518473,
5897,17.14536204849924,33.37744920829071,-1.113311853484823,0.4391483385533219,-0.4234182016959722,test,12,persistence,pooled_common_cases,0.0,
5897,13.120247583517044,24.24504982613423,-4.183449211463456,0.5211544869466022,0.2489438796272907,test,12,climatology,pooled_common_cases,23.476404018744656,
5897,18.091119305173358,33.63205023915137,-3.9856684204535218,0.41662312011866126,-0.44521650841594895,test,12,raw_cams,pooled_common_cases,-5.516111319194339,
