split,forecast_hour,station_code,issue_rows,valid_targets,cams_rows,valid_target_pct,cams_coverage_pct
test,3,BANJARBARU2,243,241,243,99.17695473251028,100.0
test,3,BATAM2,243,235,243,96.70781893004116,100.0
test,3,BENGKULU,243,228,243,93.82716049382717,100.0
test,3,INDRAPURI2,243,235,243,96.70781893004116,100.0
test,3,JAMBI3,243,239,243,98.35390946502058,100.0
test,3,JAMBI4,243,232,243,95.47325102880659,100.0
test,3,KEMAYORAN3,243,240,243,98.76543209876543,100.0
test,3,KOTABARU,243,216,243,88.88888888888889,100.0
test,3,KOTOTABANG2,243,219,243,90.12345679012346,100.0
test,3,MALANG,243,231,243,95.06172839506173,100.0
test,3,MAROS,243,238,243,97.94238683127573,100.0
test,3,MEDAN2,243,235,243,96.70781893004116,100.0
test,3,MLATI,243,239,243,98.35390946502058,100.0
test,3,PALANGKARAYA2,243,215,243,88.47736625514403,100.0
test,3,PALEMBANG3,243,233,243,95.88477366255144,100.0
test,3,PALEMBANG4,243,239,243,98.35390946502058,100.0
test,3,PALU,243,76,243,31.275720164609055,100.0
test,3,PANGKALANBUN2,243,233,243,95.88477366255144,100.0
test,3,PEKANBARU2,243,237,243,97.53086419753086,100.0
test,3,PESAWARAN,243,221,243,90.94650205761317,100.0
test,3,PONTIANAK2,243,230,243,94.65020576131687,100.0
test,3,SAMARINDA2,243,228,243,93.82716049382717,100.0
test,3,SEMARANG,243,238,243,97.94238683127573,100.0
test,3,SINTANG,243,211,243,86.83127572016461,100.0
test,3,SORONG,243,226,243,93.00411522633745,100.0
test,3,SUPADIO,243,239,243,98.35390946502058,100.0
test,3,TANJUNGHARAPAN2,243,196,243,80.65843621399176,100.0
test,6,BANJARBARU2,243,242,243,99.58847736625515,100.0
test,6,BATAM2,243,234,243,96.29629629629629,100.0
test,6,BENGKULU,243,194,243,79.83539094650206,100.0
test,6,INDRAPURI2,243,220,243,90.53497942386831,100.0
test,6,JAMBI3,243,239,243,98.35390946502058,100.0
test,6,JAMBI4,243,234,243,96.29629629629629,100.0
test,6,KEMAYORAN3,243,240,243,98.76543209876543,100.0
test,6,KOTABARU,243,187,243,76.95473251028807,100.0
test,6,KOTOTABANG2,243,203,243,83.53909465020575,100.0
test,6,MALANG,243,225,243,92.5925925925926,100.0
test,6,MAROS,243,237,243,97.53086419753086,100.0
test,6,MEDAN2,243,235,243,96.70781893004116,100.0
test,6,MLATI,243,238,243,97.94238683127573,100.0
test,6,PALANGKARAYA2,243,213,243,87.65432098765432,100.0
test,6,PALEMBANG3,243,233,243,95.88477366255144,100.0
test,6,PALEMBANG4,243,239,243,98.35390946502058,100.0
test,6,PALU,243,76,243,31.275720164609055,100.0
