station_code,station_name,month_utc,expected_hours_within_station_span,observed_hours,valid_pm25_hours,valid_pm25_coverage_pct
BANJARBARU2,Banjarbaru,2021-09,536,519,440,82.08955223880596
BANJARBARU2,Banjarbaru,2021-10,744,744,743,99.86559139784946
BANJARBARU2,Banjarbaru,2021-11,720,720,674,93.61111111111111
BANJARBARU2,Banjarbaru,2021-12,744,744,744,100.0
BANJARBARU2,Banjarbaru,2022-01,744,744,744,100.0
BANJARBARU2,Banjarbaru,2022-02,672,672,632,94.04761904761905
BANJARBARU2,Banjarbaru,2022-03,744,744,744,100.0
BANJARBARU2,Banjarbaru,2022-04,720,720,712,98.88888888888889
BANJARBARU2,Banjarbaru,2022-05,744,744,744,100.0
BANJARBARU2,Banjarbaru,2022-06,720,720,720,100.0
BANJARBARU2,Banjarbaru,2022-07,744,744,719,96.63978494623656
BANJARBARU2,Banjarbaru,2022-08,744,744,744,100.0
BANJARBARU2,Banjarbaru,2022-09,720,720,720,100.0
BANJARBARU2,Banjarbaru,2022-10,744,744,738,99.19354838709677
BANJARBARU2,Banjarbaru,2022-11,720,720,720,100.0
BANJARBARU2,Banjarbaru,2022-12,744,744,718,96.50537634408602
BANJARBARU2,Banjarbaru,2023-01,744,744,744,100.0
BANJARBARU2,Banjarbaru,2023-02,672,672,672,100.0
BANJARBARU2,Banjarbaru,2023-03,744,744,735,98.79032258064517
BANJARBARU2,Banjarbaru,2023-04,720,720,699,97.08333333333333
BANJARBARU2,Banjarbaru,2023-05,744,744,719,96.63978494623656
BANJARBARU2,Banjarbaru,2023-06,720,720,720,100.0
BANJARBARU2,Banjarbaru,2023-07,744,744,690,92.74193548387096
BANJARBARU2,Banjarbaru,2023-08,744,744,708,95.16129032258064
BANJARBARU2,Banjarbaru,2023-09,720,720,713,99.02777777777777
BANJARBARU2,Banjarbaru,2023-10,744,744,731,98.25268817204301
BANJARBARU2,Banjarbaru,2023-11,720,720,720,100.0
BANJARBARU2,Banjarbaru,2023-12,744,744,738,99.19354838709677
BANJARBARU2,Banjarbaru,2024-01,744,744,744,100.0
BANJARBARU2,Banjarbaru,2024-02,696,696,696,100.0
BANJARBARU2,Banjarbaru,2024-03,744,744,718,96.50537634408602
BANJARBARU2,Banjarbaru,2024-04,720,720,720,100.0
BANJARBARU2,Banjarbaru,2024-05,744,741,730,98.11827956989248
BANJARBARU2,Banjarbaru,2024-06,720,719,719,99.86111111111111
BANJARBARU2,Banjarbaru,2024-07,744,738,735,98.79032258064517
BANJARBARU2,Banjarbaru,2024-08,744,741,731,98.25268817204301
BANJARBARU2,Banjarbaru,2024-09,720,719,719,99.86111111111111
BANJARBARU2,Banjarbaru,2024-10,744,573,570,76.61290322580645
BANJARBARU2,Banjarbaru,2024-11,720,717,717,99.58333333333333
BANJARBARU2,Banjarbaru,2024-12,744,744,744,100.0
BANJARBARU2,Banjarbaru,2025-01,744,744,709,95.29569892473118
BANJARBARU2,Banjarbaru,2025-02,672,672,672,100.0
BANJARBARU2,Banjarbaru,2025-03,744,744,732,98.38709677419355
BANJARBARU2,Banjarbaru,2025-04,720,715,715,99.30555555555556
BANJARBARU2,Banjarbaru,2025-05,744,744,744,100.0
BANJARBARU2,Banjarbaru,2025-06,720,720,719,99.86111111111111
BANJARBARU2,Banjarbaru,2025-07,744,744,744,100.0
BANJARBARU2,Banjarbaru,2025-08,744,744,740,99.46236559139786
BANJARBARU2,Banjarbaru,2025-09,720,716,716,99.44444444444444
BANJARBARU2,Banjarbaru,2025-10,744,744,744,100.0
BANJARBARU2,Banjarbaru,2025-11,720,719,701,97.36111111111111
BANJARBARU2,Banjarbaru,2025-12,744,741,735,98.79032258064517
BANJARBARU2,Banjarbaru,2026-01,744,744,720,96.7741935483871
BANJARBARU2,Banjarbaru,2026-02,672,672,672,100.0
BANJARBARU2,Banjarbaru,2026-03,744,744,741,99.59677419354838
BANJARBARU2,Banjarbaru,2026-04,720,720,718,99.72222222222223
BANJARBARU2,Banjarbaru,2026-05,744,744,744,100.0
BANJARBARU2,Banjarbaru,2026-06,720,704,699,97.08333333333333
BANJARBARU2,Banjarbaru,2026-07,744,744,743,99.86559139784946
BANJARBARU2,Banjarbaru,2026-08,744,744,744,100.0
BATAM2,Batam,2021-09,391,373,350,89.51406649616368
BATAM2,Batam,2021-10,744,744,744,100.0
BATAM2,Batam,2021-11,720,720,707,98.19444444444444
BATAM2,Batam,2021-12,744,744,744,100.0
BATAM2,Batam,2022-01,744,739,739,99.32795698924731
BATAM2,Batam,2022-02,672,672,666,99.10714285714286
BATAM2,Batam,2022-03,744,744,744,100.0
