forecast_hour,dimension,group,n,mean_residual_ug_m3,mae_ug_m3,residual_sd_ug_m3
3,target_month,1,774,-1.800860879735441,5.505088690118389,13.506313492861244
3,target_month,2,694,-0.6577579825954835,4.924240917919394,8.210011857906679
3,target_month,3,756,0.30664722070124073,5.367774707046037,8.565024206641581
3,target_month,4,724,-0.05552185592070915,4.878833093879271,7.290794265660331
3,target_month,5,739,-0.03247017732297294,4.6588755453122515,7.265389822568661
3,target_month,6,736,-0.9230863280995136,5.7669574240982575,9.91887041210304
3,target_month,7,806,-1.274956713882406,6.652196628977209,15.816709046906768
3,target_month,8,821,-13.149159462603325,22.147864900331278,65.77597901378938
3,target_local_hour,10,4629,-3.087851025375786,8.986284797008514,30.13831290124169
3,target_local_hour,11,1195,0.10864612523633925,3.6314196562565186,5.556137687129347
3,target_local_hour,12,226,-0.09448954679351683,2.4958987847514176,4.20185146847245
3,station,BANJARBARU2,241,1.6019500249996472,5.075077811775072,7.487374424452033
3,station,BATAM2,235,-0.7060998847546651,4.490087789975276,7.533348699183547
3,station,BENGKULU,228,0.8822662609002339,6.944377611807976,9.171772981603496
3,station,INDRAPURI2,235,-0.13706332558840278,3.101595416987335,4.258305517681148
3,station,JAMBI3,239,-2.7511582560745675,7.811689049608667,14.193209444643776
3,station,JAMBI4,232,0.3638881947858473,5.373404062190372,9.471988173917623
3,station,KEMAYORAN3,240,-0.7688493607109935,8.073261805739211,10.69871320294745
3,station,KOTABARU,216,0.3498215376381025,2.2479466672481774,2.8048170731536706
3,station,KOTOTABANG2,219,-0.5302181840162834,3.361106644258259,5.878385573211328
3,station,MALANG,231,-0.65952714579605,7.286496461968147,10.152856789699397
3,station,MAROS,238,0.36682264585042784,3.478309526854122,4.326417369792014
3,station,MEDAN2,235,-3.5225773141286085,10.229050593032548,13.715482294683019
3,station,MLATI,239,-1.5187878080570085,8.093281112882924,12.699949944807404
3,station,PALANGKARAYA2,215,-14.791822688557911,17.998221035310646,62.12750449038732
3,station,PALEMBANG3,233,0.6061203635887208,7.5865882968779745,10.957094483074467
3,station,PALEMBANG4,239,2.323176741189185,6.1052773178842745,8.818179508872928
3,station,PALU,76,-0.21929110126067342,2.8532086369897,3.6045627323669014
3,station,PANGKALANBUN2,233,-0.5080365804208089,3.2467897388669367,4.988980374494281
3,station,PEKANBARU2,237,-2.050406511987885,8.219983626124533,12.12928344925541
3,station,PESAWARAN,221,-0.9677385060477205,7.772607107477416,11.914732969654622
3,station,PONTIANAK2,230,-11.00981973987101,18.071093293833446,56.63142957452402
3,station,SAMARINDA2,228,-1.0507925480209994,3.6779812753189023,5.803561876948068
3,station,SEMARANG,238,0.2648817815544756,6.949387425327144,9.487380997369053
3,station,SINTANG,211,-8.247922128005628,10.987068177308268,38.98316412978475
3,station,SORONG,226,-0.09448954679351683,2.4958987847514176,4.20185146847245
3,station,SUPADIO,239,-19.114178741622833,28.34369489603659,86.90267981057083
3,station,TANJUNGHARAPAN2,196,-0.8308992528832783,3.8144642953465966,6.244496655539896
6,target_month,1,762,-0.8832409706992006,4.03911548378204,7.040215902109624
6,target_month,2,681,-0.11913734676664475,3.9182852074811425,5.816034068416666
6,target_month,3,745,0.17029316622111565,4.935194824674775,8.97362213474781
6,target_month,4,703,-1.0697257336471446,5.006945270592192,11.273916240696916
6,target_month,5,689,-0.2488087413055286,4.54138450718608,8.004242305962034
6,target_month,6,714,-0.7596919390756943,5.120698690195431,9.350435320657827
6,target_month,7,790,-0.7241160165000439,6.007533670470859,11.66265822023367
6,target_month,8,821,-8.467546164516225,16.186894372702387,40.731098717413424
6,target_local_hour,13,4517,-2.0013702607430286,7.2584332262467655,19.66233883366589
6,target_local_hour,14,1167,-0.20734102718115813,3.5543982414550914,5.868646187929402
6,target_local_hour,15,221,-1.5154335276281792,3.751221419557673,13.555554423808404
6,station,BANJARBARU2,242,0.47868769539330436,4.486139672053199,7.589203986352213
6,station,BATAM2,234,-0.7919626029295307,4.373876817343461,11.087233697259471
6,station,BENGKULU,194,1.6612616668553883,4.776237558422843,6.118858990127268
6,station,INDRAPURI2,220,-0.8672595848523564,3.354894285031661,9.06391492499652
6,station,JAMBI3,239,-2.207865553541858,6.513462527473906,12.220623901600312
6,station,JAMBI4,234,-2.017865749583684,6.787539291544446,14.372719618814742
6,station,KEMAYORAN3,240,-2.4238913299253158,7.958480769138915,10.985900203540444
6,station,KOTABARU,187,0.8329368387038238,2.13920870005475,2.428073535660625
6,station,KOTOTABANG2,203,-0.21708514677627583,3.2284757373838757,4.59696276913992
6,station,MALANG,225,0.051669062667174206,8.40841568430682,14.30569623671672
6,station,MAROS,237,0.45040261285387206,3.385820589295878,4.820950181581091
6,station,MEDAN2,235,-0.3147234565986645,7.231085512478663,10.137922365822883
6,station,MLATI,238,-1.0722253852097552,6.565350424386342,10.166280855565997
6,station,PALANGKARAYA2,213,-8.799993607047893,12.629417484378413,51.26390596725198
6,station,PALEMBANG3,233,-2.5323069674972483,8.685612401271271,20.429600713391523
6,station,PALEMBANG4,239,-2.016962547879023,7.003581383795029,16.186144334443867
6,station,PALU,76,1.2190567648032498,3.2567799766977488,3.9318386769914757
6,station,PANGKALANBUN2,221,-0.0377292185216088,3.042285254370898,4.90627344343114
6,station,PEKANBARU2,236,-1.695712687217194,8.769169127279705,19.754602375505282
6,station,PESAWARAN,221,-0.6599281337032288,5.937761709789016,7.986871099754749
6,station,PONTIANAK2,223,-2.555436466901999,8.792664813486516,18.571765387862857
6,station,SAMARINDA2,230,-1.5262577438403295,3.419223426829473,4.590635315314925
6,station,SEMARANG,238,-2.565684760118857,7.130485659639916,9.321170513209214
6,station,SINTANG,197,-4.108934580038675,7.268397910649229,21.716070689487818
6,station,SORONG,221,-1.5154335276281792,3.751221419557673,13.555554423808404
6,station,SUPADIO,234,-6.6340384822426905,15.822825082773543,43.50341318665344
6,station,TANJUNGHARAPAN2,195,-1.8560156006735649,4.23553217522076,7.9324014777236815
12,target_month,1,781,-0.8620381054967955,7.868845518209069,11.987916932193773
12,target_month,2,705,0.5213817760004694,8.435954442620648,13.006037374189917
12,target_month,3,763,1.7433926746344988,8.546309357345557,12.033462207233436
12,target_month,4,751,-3.45260440193413,11.114811408915749,20.052846524801065
12,target_month,5,757,-2.978435371463963,11.281102743418307,19.883620289948805
12,target_month,6,745,-2.6066454567312447,10.337180468086789,19.021491233434393
12,target_month,7,797,-2.794378666218028,11.379632302706522,19.773988012809948
12,target_month,8,809,-7.056895583306513,16.204220988129062,30.96452737687527
12,target_local_hour,19,4654,-2.7487499634889763,12.175381504070613,21.77071262117505
12,target_local_hour,20,1225,-0.341488508255399,6.075091948044628,9.079884191553052
12,target_local_hour,21,229,-2.140366445686687,5.565661281073154,10.441654470359861
12,station,BANJARBARU2,241,0.9263353499602891,6.941194069006552,9.473224577068974
12,station,BATAM2,234,0.5627305347411298,5.351148420345898,8.202303961908957
12,station,BENGKULU,230,-0.6039502595009476,13.389829621490014,17.434083268266185
12,station,INDRAPURI2,233,0.32319858610698904,5.035537457606737,6.763621258101941
12,station,JAMBI3,239,-4.860899841916511,17.690113807789427,27.38007889094714
12,station,JAMBI4,238,-11.347851669283909,20.72290714309236,35.81762759661867
12,station,KEMAYORAN3,239,3.068274725973801,9.241866352948865,11.436709282606154
12,station,KOTABARU,234,0.8135602161241192,4.282183628440963,5.73402620277707
12,station,KOTOTABANG2,222,0.7794965800966649,3.951302536013407,5.325337493011509
12,station,MALANG,236,2.1760212521500266,9.258272860581993,11.580991969845023
12,station,MAROS,237,-3.609925050001566,8.508356515488414,12.186063102910946
12,station,MEDAN2,238,0.636164715055318,15.80316305644826,21.57333512348685
12,station,MLATI,242,-2.2065420772995434,11.081266039091835,15.746406079332168
12,station,PALANGKARAYA2,232,-9.195057205155994,13.026501161780548,20.988928718497505
12,station,PALEMBANG3,232,-4.759581026460097,13.907314014560832,23.700954136596323
12,station,PALEMBANG4,241,-0.9667065820562147,9.619827889027174,17.876781874171325
12,station,PALU,75,-0.040364191876043565,3.797180132683464,5.049538758988814
12,station,PANGKALANBUN2,234,-1.6321382451637376,6.445846609746093,9.478377034920003
12,station,PEKANBARU2,239,-10.658644361158442,25.489496843135974,39.11341267447046
12,station,PESAWARAN,223,-5.419706605067177,19.58505992216241,32.15368625302188
12,station,PONTIANAK2,206,-0.7895269402451889,8.94415145504553,13.280794912873919
12,station,SAMARINDA2,239,1.4392861399177361,5.105177845998449,6.848423824932736
12,station,SEMARANG,237,0.8059799874582216,8.260392155312188,10.484483709009783
12,station,SINTANG,220,-0.4017574643845128,5.387769190519072,14.629030593335326
12,station,SORONG,229,-2.140366445686687,5.565661281073154,10.441654470359861
12,station,SUPADIO,239,-9.904393081160444,19.93737499622315,33.49377994224392
12,station,TANJUNGHARAPAN2,199,-1.5947395413346834,6.259911494237499,9.875234234607522
24,target_month,1,780,-1.2765927542107405,8.03257071251891,15.249128089027804
24,target_month,2,698,-1.271359506902307,9.194315595186143,18.306386575575523
24,target_month,3,760,-3.3742188598720997,11.155326074743002,27.70038647925684
24,target_month,4,731,-0.8401225332950155,7.701006173258691,12.877041474864209
24,target_month,5,749,-1.0768722795108299,7.986438908239147,12.272672136497274
24,target_month,6,740,-2.2712004174589064,8.546353178751659,12.694830040984455
24,target_month,7,801,-2.5265443322053245,9.469988185218877,16.50446585260715
24,target_month,8,825,-14.343753067817985,24.637909839452437,52.966157392897145
24,target_local_hour,7,4630,-4.2166740947938495,12.555337133579254,27.056217817145345
24,target_local_hour,8,1218,-1.512801841613614,6.70696440231456,22.069506672449254
24,target_local_hour,9,236,-0.1716840033145656,3.000455290789436,4.189686756476563
24,station,BANJARBARU2,241,-9.248825161927432,16.482798123133804,47.464621865561064
24,station,BATAM2,231,-1.3948310526573626,5.920853236989839,14.183131133511845
24,station,BENGKULU,231,-6.7288366498736005,17.298904198113643,25.286653753934605
24,station,INDRAPURI2,228,2.1660845933264663,3.455591652796721,3.9406190240272023
24,station,JAMBI3,238,-3.927289016365825,10.81475197072069,15.502023563674378
24,station,JAMBI4,231,-2.9790637715575343,9.588557399852748,14.599745951471965
24,station,KEMAYORAN3,241,-0.025761079965373565,12.80659803632213,17.146268910855753
24,station,KOTABARU,233,0.20364602519332362,4.410887279608876,6.238039885516437
24,station,KOTOTABANG2,222,1.0001129182426725,4.414694509894987,5.784651924590861
24,station,MALANG,235,3.712528863664143,8.869581291254287,10.436087571479732
24,station,MAROS,239,-0.21739226652204804,5.270381059678286,7.130986967531917
24,station,MEDAN2,237,-3.560742405112944,14.34084028366352,18.86970011405671
24,station,MLATI,240,-1.9874981088737829,12.061567651410655,16.082461149058037
24,station,PALANGKARAYA2,225,-1.799004986930935,8.646107298882203,19.5766355347348
24,station,PALEMBANG3,235,-5.08208750159653,13.225929668207394,17.18305751105764
24,station,PALEMBANG4,240,-6.718195754666677,12.054721748177041,16.633776011241952
24,station,PALU,76,-0.42445423334976956,3.3868194213357734,4.143076197036861
24,station,PANGKALANBUN2,231,-4.978082209167486,8.76600322569159,20.541144953352816
24,station,PEKANBARU2,235,-1.2920921675145254,13.19247598848166,22.10327041085833
24,station,PESAWARAN,219,0.3667273232744593,12.823871430293712,16.680450012543027
24,station,PONTIANAK2,234,-18.21934298037209,24.908749041020318,55.0144925240678
24,station,SAMARINDA2,230,1.1428833831655119,3.9436927600053413,5.155912423065061
24,station,SEMARANG,240,1.0905619946597136,9.84375664811997,12.835237410241344
24,station,SINTANG,199,-7.944450061863221,14.18299517662394,50.35826001803361
24,station,SORONG,236,-0.1716840033145656,3.000455290789436,4.189686756476563
24,station,SUPADIO,238,-25.704924584964715,32.994003571295345,61.01685310931909
24,station,TANJUNGHARAPAN2,199,0.8054110169566261,3.743331025674175,5.156523632035881
48,target_month,1,780,-1.6747930985915114,8.244968751316891,15.907480330708983
48,target_month,2,698,-1.650117779733421,9.454904991687293,18.84749469181924
48,target_month,3,760,-4.234560117330257,12.242481043578497,30.998083846738513
48,target_month,4,731,-0.8289502530921768,7.923139455010735,12.92600504613478
48,target_month,5,749,-0.6491389982573216,8.158921080311735,12.619075428203086
48,target_month,6,740,-2.548563180588949,9.107717427899786,13.30254201816905
48,target_month,7,801,-3.478474931692996,10.172980023798528,17.145099859624125
48,target_month,8,825,-18.251454759991795,27.182443366802815,57.609078248466915
48,target_local_hour,7,4630,-5.275092966898674,13.418158380277458,29.526613285399602
48,target_local_hour,8,1218,-1.7233379512963465,7.109707917889595,23.125772075364907
48,target_local_hour,9,236,0.10384088759854469,3.244990943887842,4.435899809376919
48,station,BANJARBARU2,241,-10.50784653362792,17.653693403295808,49.58596137407211
48,station,BATAM2,231,-1.8660249683222352,5.959931895342517,14.225876356050463
48,station,BENGKULU,231,-7.11870345408932,17.870763066826648,26.377178141678684
48,station,INDRAPURI2,228,2.34983718149164,3.928406327521941,4.355638143945266
48,station,JAMBI3,238,-5.147657437770197,11.328697300209662,15.683979718578975
48,station,JAMBI4,231,-4.565601889788111,10.294844299270602,15.37839236624996
48,station,KEMAYORAN3,241,-0.47744620229593787,13.194140909940844,17.351099193806586
48,station,KOTABARU,233,0.22387359883164792,4.446550232876146,6.276885719953422
48,station,KOTOTABANG2,222,0.7408982856266311,5.199650780096778,6.882406674826315
48,station,MALANG,235,4.059064038833964,9.536576452479054,11.285796381367927
48,station,MAROS,239,-0.08973343680649878,5.688292461546756,7.658476623399821
48,station,MEDAN2,237,-3.281423429132182,14.74194463589357,19.531864082443494
48,station,MLATI,240,-1.676712119224289,12.41987083529162,16.248958523472375
48,station,PALANGKARAYA2,225,-2.600105146544402,9.15549891260505,21.124299860833975
48,station,PALEMBANG3,235,-6.166444524909848,13.360155594063084,17.408683937226904
48,station,PALEMBANG4,240,-9.187832512665967,13.334096893219915,18.023359042315814
48,station,PALU,76,-0.6163861148498282,3.417430454910012,4.310037308584862
48,station,PANGKALANBUN2,231,-5.499514765452513,9.079609422597606,21.47459678004782
48,station,PEKANBARU2,235,-2.9654268394589787,13.807167468960344,25.076317764344928
48,station,PESAWARAN,219,-0.09482688311715556,13.774099226374467,17.60528047425376
48,station,PONTIANAK2,234,-21.398051486805436,27.06029145332071,59.66586793979831
48,station,SAMARINDA2,230,1.4257750331272383,4.04289709528962,5.068175158587983
48,station,SEMARANG,240,1.6464312493930953,10.38992768747004,13.354610592035222
48,station,SINTANG,199,-10.74982857315902,15.58018311015657,53.966549967396624
48,station,SORONG,236,0.10384088759854469,3.244990943887842,4.435899809376919
48,station,SUPADIO,238,-31.29788466512263,37.465525766697844,68.78543371234103
48,station,TANJUNGHARAPAN2,199,0.6108855271541717,4.120326556460536,5.858938586356017
72,target_month,1,780,-1.70117820105569,8.47346533994719,16.080332352756113
72,target_month,2,698,-1.5992982617411862,9.939262422525559,19.62050010049516
72,target_month,3,760,-4.481321354750413,12.833737669432882,32.15789961227277
72,target_month,4,731,-0.7674580339471286,8.238629490908513,13.490594704248904
