stage,model,forecast_hour,seconds,training_rows,validation_rows,best_iteration,fold,station_code,evaluation_rows
candidate_fit,obs_lgbm,3.0,1.20046138699945,18512.0,8768.0,173.0,,,
candidate_fit,cams_lgbm,3.0,1.5822992619996512,18398.0,8743.0,210.0,,,
candidate_fit,cams_xgboost,3.0,3.7293467960007547,18398.0,8743.0,239.0,,,
candidate_fit,obs_lgbm,6.0,1.241160306999518,18465.0,8655.0,193.0,,,
candidate_fit,cams_lgbm,6.0,1.5244201900004555,18347.0,8631.0,215.0,,,
candidate_fit,cams_xgboost,6.0,3.9220920789994125,18347.0,8631.0,295.0,,,
candidate_fit,obs_lgbm,12.0,1.4833002260002104,18734.0,8943.0,209.0,,,
candidate_fit,cams_lgbm,12.0,1.3508702180006367,18613.0,8917.0,217.0,,,
candidate_fit,cams_xgboost,12.0,3.4723306380001304,18613.0,8917.0,231.0,,,
candidate_fit,obs_lgbm,24.0,1.3682866649996868,18576.0,8868.0,178.0,,,
candidate_fit,cams_lgbm,24.0,0.8874380470006145,18432.0,8842.0,96.0,,,
candidate_fit,cams_xgboost,24.0,2.577336082000329,18432.0,8842.0,117.0,,,
candidate_fit,obs_lgbm,48.0,0.9771478679995198,18576.0,8868.0,116.0,,,
candidate_fit,cams_lgbm,48.0,0.819058764998772,18402.0,8843.0,85.0,,,
candidate_fit,cams_xgboost,48.0,2.413820013998702,18402.0,8843.0,103.0,,,
candidate_fit,obs_lgbm,72.0,0.98492111700034,18576.0,8868.0,128.0,,,
candidate_fit,cams_lgbm,72.0,1.0463004909997835,18374.0,8842.0,91.0,,,
candidate_fit,cams_xgboost,72.0,2.3980453080002917,18374.0,8842.0,92.0,,,
quantile_fit,quantile_0.1,3.0,0.8590083840008447,18398.0,4360.0,94.0,,,
quantile_fit,quantile_0.5,3.0,1.2308780359999218,18398.0,4360.0,185.0,,,
quantile_fit,quantile_0.9,3.0,1.2468104990002757,18398.0,4360.0,197.0,,,
quantile_fit,quantile_0.1,6.0,1.01510333600163,18347.0,4304.0,131.0,,,
quantile_fit,quantile_0.5,6.0,1.2901428919994942,18347.0,4304.0,205.0,,,
quantile_fit,quantile_0.9,6.0,1.2349209550011437,18347.0,4304.0,190.0,,,
quantile_fit,quantile_0.1,12.0,0.769054860000324,18613.0,4473.0,88.0,,,
quantile_fit,quantile_0.5,12.0,1.2505946119999862,18613.0,4473.0,200.0,,,
quantile_fit,quantile_0.9,12.0,1.3279349809999985,18613.0,4473.0,210.0,,,
quantile_fit,quantile_0.1,24.0,0.7373004949986353,18432.0,4447.0,68.0,,,
quantile_fit,quantile_0.5,24.0,1.0943511040004523,18432.0,4447.0,142.0,,,
quantile_fit,quantile_0.9,24.0,1.1425554059987917,18432.0,4447.0,159.0,,,
quantile_fit,quantile_0.1,48.0,0.6579440719997365,18402.0,4447.0,60.0,,,
quantile_fit,quantile_0.5,48.0,0.8570309520000592,18402.0,4447.0,99.0,,,
quantile_fit,quantile_0.9,48.0,1.2062870930003555,18402.0,4447.0,189.0,,,
quantile_fit,quantile_0.1,72.0,0.7041507500016451,18374.0,4447.0,63.0,,,
quantile_fit,quantile_0.5,72.0,0.8878138849995594,18374.0,4447.0,93.0,,,
quantile_fit,quantile_0.9,72.0,1.3075142030011193,18374.0,4447.0,204.0,,,
station_assignment,,,,,,,1.0,JAMBI4,
station_assignment,,,,,,,1.0,KOTABARU,
station_assignment,,,,,,,1.0,PALANGKARAYA2,
station_assignment,,,,,,,1.0,PALEMBANG3,
station_assignment,,,,,,,1.0,PANGKALANBUN2,
station_assignment,,,,,,,1.0,TANJUNGHARAPAN2,
station_assignment,,,,,,,2.0,BANJARBARU2,
station_assignment,,,,,,,2.0,INDRAPURI2,
station_assignment,,,,,,,2.0,JAMBI3,
station_assignment,,,,,,,2.0,KEMAYORAN3,
station_assignment,,,,,,,2.0,MEDAN2,
station_assignment,,,,,,,2.0,SUPADIO,
station_assignment,,,,,,,3.0,BATAM2,
station_assignment,,,,,,,3.0,MLATI,
station_assignment,,,,,,,3.0,PALEMBANG4,
station_assignment,,,,,,,3.0,PEKANBARU2,
station_assignment,,,,,,,3.0,SEMARANG,
station_assignment,,,,,,,4.0,BENGKULU,
station_assignment,,,,,,,4.0,KOTOTABANG2,
station_assignment,,,,,,,4.0,PESAWARAN,
station_assignment,,,,,,,4.0,PONTIANAK2,
station_assignment,,,,,,,4.0,SAMARINDA2,
station_assignment,,,,,,,5.0,MALANG,
station_assignment,,,,,,,5.0,MAROS,
station_assignment,,,,,,,5.0,PALU,
station_assignment,,,,,,,5.0,SINTANG,
station_assignment,,,,,,,5.0,SORONG,
station_transfer_fit,,3.0,0.7378021639997314,14240.0,,,1.0,,1325.0
station_transfer_fit,,6.0,0.7779572819999885,14233.0,,,1.0,,1283.0
station_transfer_fit,,12.0,0.7741844659994968,14395.0,,,1.0,,1369.0
station_transfer_fit,,24.0,0.38090529199871526,14243.0,,,1.0,,1354.0
station_transfer_fit,,48.0,0.34135001899994677,14220.0,,,1.0,,1354.0
station_transfer_fit,,72.0,0.41224470300039684,14198.0,,,1.0,,1354.0
station_transfer_fit,,3.0,0.7278470800010837,14234.0,,,2.0,,1429.0
station_transfer_fit,,6.0,0.8537147310016735,14202.0,,,2.0,,1410.0
station_transfer_fit,,12.0,0.8108460170005856,14413.0,,,2.0,,1429.0
station_transfer_fit,,24.0,0.37784452399864676,14302.0,,,2.0,,1423.0
station_transfer_fit,,48.0,0.34670822100088117,14278.0,,,2.0,,1423.0
station_transfer_fit,,72.0,0.35575353400054155,14256.0,,,2.0,,1423.0
station_transfer_fit,,3.0,0.7513024039999436,14852.0,,,3.0,,1188.0
station_transfer_fit,,6.0,0.798113666000063,14806.0,,,3.0,,1185.0
station_transfer_fit,,12.0,0.8018706260008912,15059.0,,,3.0,,1193.0
station_transfer_fit,,24.0,0.39471264199892175,14895.0,,,3.0,,1186.0
station_transfer_fit,,48.0,0.3149546429995098,14870.0,,,3.0,,1186.0
station_transfer_fit,,72.0,0.388161795999622,14847.0,,,3.0,,1186.0
station_transfer_fit,,3.0,0.7189891100006207,14978.0,,,4.0,,1126.0
station_transfer_fit,,6.0,0.8075002280002082,14918.0,,,4.0,,1071.0
station_transfer_fit,,12.0,0.819618821999029,15132.0,,,4.0,,1120.0
station_transfer_fit,,24.0,0.4001577049984917,14993.0,,,4.0,,1136.0
station_transfer_fit,,48.0,0.34035594199849584,14969.0,,,4.0,,1136.0
station_transfer_fit,,72.0,0.3713932710015797,14947.0,,,4.0,,1136.0
station_transfer_fit,,3.0,0.7983211330010818,15288.0,,,5.0,,982.0
station_transfer_fit,,6.0,0.8326331319985911,15229.0,,,5.0,,956.0
station_transfer_fit,,12.0,0.757222324000395,15453.0,,,5.0,,997.0
station_transfer_fit,,24.0,0.3811596979994647,15295.0,,,5.0,,985.0
station_transfer_fit,,48.0,0.3480889519996708,15271.0,,,5.0,,985.0
station_transfer_fit,,72.0,0.3812717180007894,15248.0,,,5.0,,985.0
complete_train_evaluate,,,92.10109347999969,,,,,,
