station_code,station_name,n,mean_ug_m3,median_ug_m3,q90_ug_m3,q95_ug_m3,q99_ug_m3,maximum_ug_m3
BANJARBARU2,Banjarbaru,42840,19.93407096171802,17.3,31.1,37.5,60.5,861.5
BATAM2,Batam,42596,22.12345055873791,20.8,31.7,36.2,47.2,746.7999999999998
BENGKULU,Bengkulu,41203,21.577402130912798,16.9,44.9,57.4,95.99600000000063,239.8
INDRAPURI2,Indrapuri,40273,9.79146822933479,8.199999999999998,18.6,22.4,32.927999999999884,280.3
JAMBI3,Kota Jambi,46085,26.045474666377345,21.3,47.4,61.5,103.5,571.5
JAMBI4,Muaro Jambi,41607,25.720448482226548,20.0,48.5,65.8,114.4,834.1
KEMAYORAN3,Kemayoran,42484,37.46306138781659,33.5,69.4,82.09999999999998,107.91699999999983,769.1
KOTABARU,Kotabaru,40599,8.689233724968595,7.5,16.4,20.1,29.1,146.3
KOTOTABANG2,Koto Tabang,37061,7.344256765872481,5.5,15.2,19.7,33.0,584.6
MALANG,Malang,41041,21.337837771984113,18.7,39.2,47.0,63.3,371.4
MAROS,Maros,39088,19.287968174375766,17.5,32.0,38.5,56.2,496.9
MEDAN2,Medan,42534,35.10858842337894,28.2,67.0,84.79999999999998,127.96699999999983,588.1
MLATI,Sleman,42492,23.835512567071447,21.2,42.0,50.2,69.4,590.1
PALANGKARAYA2,Palangka Raya,42007,13.625224367367345,8.0,21.9,36.0,146.9640000000014,867.4
PALEMBANG3,Talang Betutu Palembang,47807,31.420909071893234,25.0,54.0,72.5,136.4820000000007,937.5
PALEMBANG4,Musi 2 Palembang,42124,27.479382299876555,20.1,46.4,65.1,163.67699999999968,909.1
PALU,Lore Lindu Bariri,20907,8.029712536471038,6.4,15.3,19.6,28.79399999999987,465.8
PANGKALANBUN2,Pangkalan Bun,39453,10.149550097584468,8.3,18.5,23.5,40.5,300.3
PEKANBARU2,Pekanbaru,46474,25.673133364892198,20.0,49.4,64.6,109.4,842.5
PESAWARAN,Pesawaran,42599,30.98499730040611,25.9,59.8,71.6,98.3,345.0
PONTIANAK2,Mempawah,42027,16.458655150260547,10.7,29.7,45.1,110.8479999999996,847.4
SAMARINDA2,Samarinda,45572,10.448312560344071,9.0,19.2,23.2,33.3,905.2
SEMARANG,Semarang,41967,29.403412204827603,27.4,49.0,56.5,71.43399999999966,147.5
SINTANG,Sintang,39476,10.686890769074882,6.6,19.5,30.8,81.02499999999999,847.2999999999998
SORONG,Sorong,39212,6.658018336223605,5.0,12.4,16.5,30.6,784.9
SUPADIO,Kubu Raya,42717,23.790121029098486,14.0,46.6,72.21999999999971,186.43599999999861,954.4
TANJUNGHARAPAN2,Tanjung Harapan,43744,11.322688825896122,9.0,20.5,26.3,46.8,523.2
