station_code,forecast_hour,training_station_q90_ug_m3
BANJARBARU2,3,24.950000000000003
BANJARBARU2,6,22.680000000000007
BANJARBARU2,12,34.6
BANJARBARU2,24,49.2
BANJARBARU2,48,49.2
BANJARBARU2,72,49.2
BATAM2,3,30.2
BATAM2,6,30.5
BATAM2,12,34.5
BATAM2,24,32.720000000000006
BATAM2,48,32.720000000000006
BATAM2,72,32.720000000000006
BENGKULU,3,36.63000000000001
BENGKULU,6,25.7
BENGKULU,12,53.31
BENGKULU,24,56.82
BENGKULU,48,56.82
BENGKULU,72,56.82
INDRAPURI2,3,19.25
INDRAPURI2,6,16.54
INDRAPURI2,12,25.6
INDRAPURI2,24,15.420000000000005
INDRAPURI2,48,15.420000000000005
INDRAPURI2,72,15.420000000000005
JAMBI3,3,37.24000000000001
JAMBI3,6,33.610000000000014
JAMBI3,12,84.0
JAMBI3,24,49.1
JAMBI3,48,49.1
JAMBI3,72,49.1
JAMBI4,3,37.910000000000004
JAMBI4,6,32.360000000000014
JAMBI4,12,98.88000000000001
JAMBI4,24,41.4
JAMBI4,48,41.4
JAMBI4,72,41.4
KEMAYORAN3,3,76.36
KEMAYORAN3,6,67.3
KEMAYORAN3,12,58.620000000000005
KEMAYORAN3,24,95.69000000000001
KEMAYORAN3,48,95.69000000000001
KEMAYORAN3,72,95.69000000000001
KOTABARU,3,15.149999999999999
KOTABARU,6,14.3
KOTABARU,12,24.770000000000003
KOTABARU,24,23.74000000000001
KOTABARU,48,23.74000000000001
KOTABARU,72,23.74000000000001
KOTOTABANG2,3,18.689999999999998
KOTOTABANG2,6,17.95000000000001
KOTOTABANG2,12,17.79
KOTOTABANG2,24,16.1
KOTOTABANG2,48,16.1
KOTOTABANG2,72,16.1
MALANG,3,43.460000000000015
MALANG,6,41.9
MALANG,12,44.07000000000001
MALANG,24,44.78000000000001
MALANG,48,44.78000000000001
MALANG,72,44.78000000000001
MAROS,3,29.92
MAROS,6,28.25
MAROS,12,44.510000000000005
MAROS,24,45.480000000000004
MAROS,48,45.480000000000004
MAROS,72,45.480000000000004
MEDAN2,3,53.280000000000015
MEDAN2,6,40.35999999999999
MEDAN2,12,77.69999999999999
MEDAN2,24,68.78000000000004
MEDAN2,48,68.78000000000004
MEDAN2,72,68.78000000000004
MLATI,3,39.82000000000001
MLATI,6,38.970000000000006
MLATI,12,47.3
MLATI,24,62.95
MLATI,48,62.95
MLATI,72,62.95
PALANGKARAYA2,3,22.579999999999995
PALANGKARAYA2,6,20.360000000000014
PALANGKARAYA2,12,42.88
PALANGKARAYA2,24,29.020000000000024
PALANGKARAYA2,48,29.020000000000024
PALANGKARAYA2,72,29.020000000000024
PALEMBANG3,3,49.2
PALEMBANG3,6,42.900000000000006
PALEMBANG3,12,70.2
PALEMBANG3,24,68.5
PALEMBANG3,48,68.5
PALEMBANG3,72,68.5
PALEMBANG4,3,46.02
PALEMBANG4,6,40.960000000000015
PALEMBANG4,12,62.0
PALEMBANG4,24,68.96
PALEMBANG4,48,68.96
PALEMBANG4,72,68.96
PALU,3,14.530000000000001
PALU,6,11.9
PALU,12,16.8
PALU,24,17.44
PALU,48,17.44
PALU,72,17.44
PANGKALANBUN2,3,14.3
PANGKALANBUN2,6,14.780000000000006
PANGKALANBUN2,12,25.9
PANGKALANBUN2,24,25.58000000000001
PANGKALANBUN2,48,25.58000000000001
PANGKALANBUN2,72,25.58000000000001
PEKANBARU2,3,41.5
PEKANBARU2,6,32.360000000000014
PEKANBARU2,12,95.08000000000001
PEKANBARU2,24,43.360000000000014
PEKANBARU2,48,43.360000000000014
PEKANBARU2,72,43.360000000000014
PESAWARAN,3,48.6
PESAWARAN,6,43.4
PESAWARAN,12,80.27
PESAWARAN,24,62.450000000000024
PESAWARAN,48,62.450000000000024
PESAWARAN,72,62.450000000000024
PONTIANAK2,3,31.120000000000026
PONTIANAK2,6,23.44000000000001
PONTIANAK2,12,32.599999999999994
PONTIANAK2,24,40.960000000000015
PONTIANAK2,48,40.960000000000015
PONTIANAK2,72,40.960000000000015
SAMARINDA2,3,17.96000000000001
SAMARINDA2,6,19.520000000000028
SAMARINDA2,12,23.7
SAMARINDA2,24,22.060000000000013
SAMARINDA2,48,22.060000000000013
SAMARINDA2,72,22.060000000000013
SEMARANG,3,46.8
SEMARANG,6,38.26000000000001
SEMARANG,12,49.04000000000002
SEMARANG,24,56.1
SEMARANG,48,56.1
SEMARANG,72,56.1
SINTANG,3,16.820000000000004
SINTANG,6,15.280000000000006
SINTANG,12,26.560000000000013
SINTANG,24,22.04000000000001
SINTANG,48,22.04000000000001
SINTANG,72,22.04000000000001
SORONG,3,11.320000000000006
SORONG,6,11.45
SORONG,12,17.55
SORONG,24,14.180000000000007
SORONG,48,14.180000000000007
SORONG,72,14.180000000000007
SUPADIO,3,30.8
SUPADIO,6,28.960000000000015
SUPADIO,12,60.239999999999995
SUPADIO,24,47.74000000000001
SUPADIO,48,47.74000000000001
SUPADIO,72,47.74000000000001
TANJUNGHARAPAN2,3,17.24000000000001
TANJUNGHARAPAN2,6,15.2
TANJUNGHARAPAN2,12,31.6
TANJUNGHARAPAN2,24,17.2
TANJUNGHARAPAN2,48,17.2
TANJUNGHARAPAN2,72,17.2
