n,mae_ug_m3,rmse_ug_m3,bias_ug_m3,correlation,r2,split,forecast_hour,model,scope,skill_vs_persistence_pct,n_stations
13547,10.954122683989075,25.287141677426042,6.114305750350631,0.6629977972352142,-0.45751912613941625,training_oof,3,persistence,pooled_common_cases,0.0,
13547,10.849132649295045,20.812292731742776,-3.4335055731896365,0.3255188986078905,0.012687511653434846,training_oof,3,climatology,pooled_common_cases,0.9584522441718368,
13547,10.526644869123096,18.95899325512034,-7.894715626387223,0.5696273397439645,0.18069553252227422,training_oof,3,raw_cams,pooled_common_cases,3.9024377140744915,
13547,6.611540610509365,15.342588786387164,-2.7785900094951876,0.7084021764536784,0.46344768967303474,training_oof,3,champion,pooled_common_cases,39.643358019232146,
13416,12.720058139534883,26.990810664299072,9.29182319618366,0.6587156421830124,-1.583406454974344,training_oof,6,persistence,pooled_common_cases,0.0,
13416,9.951460942158615,17.382669401240435,-3.3437239117471673,0.29219271179980216,-0.07150406720717561,training_oof,6,climatology,pooled_common_cases,21.76560175280381,
13416,8.05910492802781,13.168133998080295,-4.503720546727328,0.6768164200862068,0.3850931126506326,training_oof,6,raw_cams,pooled_common_cases,36.64254644419026,
13416,6.22381845047147,12.202918948411314,-3.130381531537507,0.7306271595419717,0.4719338414227854,training_oof,6,champion,pooled_common_cases,51.070833307535125,
13499,15.485154455885622,30.499012321291076,-1.4671827542780946,0.4856899400611051,-0.3939932199195173,training_oof,12,persistence,pooled_common_cases,0.0,
13499,13.60792280909697,24.505863659395196,-4.266445662641678,0.4020275493637191,0.10002771258283871,training_oof,12,climatology,pooled_common_cases,12.122782837824076,
13499,16.593831024744084,27.135854495462286,-9.947645605099126,0.3830735013065271,-0.1035095967237818,training_oof,12,raw_cams,pooled_common_cases,-7.1596093666154825,
13499,10.50388253955234,20.46467502401293,-3.873436813689676,0.638645669481155,0.37237705027644785,training_oof,12,champion,pooled_common_cases,32.168047987664686,
13419,12.060861465086816,26.198161636840307,-0.06768760712422688,0.6827199559348333,0.3686613111938838,training_oof,24,persistence,pooled_common_cases,0.0,
13419,15.450242193904165,35.114064704262674,-4.556226246367091,0.2024260636680221,-0.1341825978622262,training_oof,24,climatology,pooled_common_cases,-28.10231042474669,
13419,15.68605697333694,31.142634788334497,-10.583299811327656,0.46459966732933555,0.10786315716580908,training_oof,24,raw_cams,pooled_common_cases,-30.05751719099137,
13419,10.711812523337557,27.8782111684023,-5.426491303800729,0.5921668675760966,0.2850913099477992,training_oof,24,champion,pooled_common_cases,11.185344808531461,
13354,13.101025909839747,28.337432674989373,-0.05073386251310469,0.6267959311633,0.2643308182774936,training_oof,48,persistence,pooled_common_cases,0.0,
13354,15.459862213568968,35.17767033701881,-4.5331960461285,0.2026655820645997,-0.13369363889903818,training_oof,48,climatology,pooled_common_cases,-18.004973961295477,
13354,15.756707235510993,31.35414975698481,-10.452866717959251,0.4556621325103584,0.09935919975419416,training_oof,48,raw_cams,pooled_common_cases,-20.270789050776948,
13354,11.351620305227994,28.7184198624561,-5.673731339140977,0.5546611256298412,0.24441619339841147,training_oof,48,champion,pooled_common_cases,13.353195518053528,
13327,13.899534779020033,30.55945279817325,0.0020484730246866545,0.5717966759329461,0.14020879511702666,training_oof,72,persistence,pooled_common_cases,0.0,
13327,15.4433630974713,35.103143841913976,-4.54412095745479,0.2031904853432067,-0.134472253992737,training_oof,72,climatology,pooled_common_cases,-11.107050293377597,
13327,16.01374919431106,31.620616344827283,-10.519346357169562,0.44264908061088243,0.0794603208867467,training_oof,72,raw_cams,pooled_common_cases,-15.21068473804046,
13327,11.632921987742616,28.918507270475555,-5.740373440137556,0.5376734464091654,0.2300658294593133,training_oof,72,champion,pooled_common_cases,16.30711262868052,
13547,6.492095567092732,12.626731038763072,-2.6829198422420832,0.6522008712291743,0.3689669076184397,training_oof,3,champion,station_balanced_common_cases,33.677241442267295,27.0
13547,10.658395594969111,17.606145113341572,-3.3505252039249394,0.019787557643486085,-0.29428317291526485,training_oof,3,climatology,station_balanced_common_cases,-9.58604411134214,27.0
13547,10.697148678202414,19.96382110989239,5.930735005734594,0.5908531311097636,-0.8893394656375397,training_oof,3,persistence,station_balanced_common_cases,0.0,27.0
13547,10.33958691600068,16.525979994460076,-7.74881008910205,0.42750600413297624,-0.24880892205865082,training_oof,3,raw_cams,station_balanced_common_cases,-6.879391747624447,27.0
13416,6.108886290203789,10.731094327564527,-3.022447948382145,0.6371207127669574,0.3206326187458586,training_oof,6,champion,station_balanced_common_cases,43.0964489938319,27.0
13416,9.768665954945318,15.333799491351733,-3.2589719225820812,-0.004912869893670342,-0.40384443669372677,training_oof,6,climatology,station_balanced_common_cases,8.556634518083953,27.0
13416,12.398533460761398,21.7854009985641,9.00878371851087,0.5429914961266061,-2.5068708214955127,training_oof,6,persistence,station_balanced_common_cases,0.0,27.0
13416,7.905013224629467,12.131793698263257,-4.4146229988608345,0.5388691701668716,0.006203469339370981,training_oof,6,raw_cams,station_balanced_common_cases,25.681258166021752,27.0
13499,10.31980196564194,17.60445912912999,-3.7891989976031177,0.4952360906118318,0.20866293037452963,training_oof,12,champion,station_balanced_common_cases,28.85592901449236,27.0
13499,13.403950074015443,21.351798497938006,-4.1932177653967635,0.056455329479137575,-0.23842873118146213,training_oof,12,climatology,station_balanced_common_cases,5.391893457028242,27.0
13499,15.144188216637149,26.13147030612313,-1.5660154313414054,0.41569502993879803,-1.340578453145648,training_oof,12,persistence,station_balanced_common_cases,0.0,27.0
13499,16.329753604169447,24.17774254304263,-9.883490302068159,0.30102020142227426,-0.7483501344612216,training_oof,12,raw_cams,station_balanced_common_cases,-13.04352659158149,27.0
13419,10.463626344873127,20.64286641161009,-5.249577457077674,0.5575514127932801,0.22453973097933344,training_oof,24,champion,station_balanced_common_cases,12.973409582093177,27.0
13419,15.085764822514987,26.102906124798178,-4.459240409406111,0.032132731334450736,-0.28679739217605416,training_oof,24,climatology,station_balanced_common_cases,-25.41278092347048,27.0
13419,11.805736396656139,21.048302769446522,-0.06662776705090889,0.5138175743382347,0.02802267890847356,training_oof,24,persistence,station_balanced_common_cases,0.0,27.0
13419,15.384048917228533,25.51096931354858,-10.406198834851804,0.3256916411917139,-0.607269498009333,training_oof,24,raw_cams,station_balanced_common_cases,-34.54923540432427,27.0
13354,11.083125810020292,21.507528253598643,-5.479635725404857,0.48035116445853304,0.14687218727553383,training_oof,48,champion,station_balanced_common_cases,14.867663041965129,27.0
13354,15.076745104857446,26.12155704443946,-4.4303444956928315,0.03167201145951779,-0.284609787476982,training_oof,48,climatology,station_balanced_common_cases,-14.80729691124719,27.0
13354,12.811864519935805,22.736834612145092,-0.056114535561132585,0.4338509862011464,-0.12682313544988122,training_oof,48,persistence,station_balanced_common_cases,0.0,27.0
13354,15.449828051367225,25.648086249167672,-10.277126011811696,0.32241163616929136,-0.6143209770481343,training_oof,48,raw_cams,station_balanced_common_cases,-25.425150461042634,27.0
13327,11.365160577298033,21.840536758181283,-5.555368614598211,0.4322363254774696,0.10432464022193139,training_oof,72,champion,station_balanced_common_cases,17.547466209590244,27.0
13327,15.070986493340422,26.091873257717833,-4.451298118911435,0.03111362303838932,-0.28497019810991986,training_oof,72,climatology,station_balanced_common_cases,-7.764363083872864,27.0
13327,13.599616167072123,24.311558815410322,-0.008357235755170932,0.3714726343724301,-0.25810280799345314,training_oof,72,persistence,station_balanced_common_cases,0.0,27.0
