forecast_hour,oof_fold,fit_rows,assessment_rows,model_assessment_rows,best_iteration_from_validation_selected_model,fit_seconds,assessment_start_utc,assessment_end_utc,latest_training_target_utc
3,1,4661,4725,4725,210,0.27711081899906276,2023-07-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2023-06-30T03:00:00+00:00
3,2,9386,4527,4413,210,0.5848910639997484,2024-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,2023-12-31T03:00:00+00:00
3,3,13799,4599,4599,210,0.8385734189996583,2024-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,2024-06-30T03:00:00+00:00
6,1,4675,4707,4707,215,0.3793780330015579,2023-07-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2023-06-30T06:00:00+00:00
6,2,9382,4533,4415,215,0.6464052549999906,2024-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,2023-12-31T06:00:00+00:00
6,3,13797,4550,4550,215,0.9275648149996414,2024-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,2024-06-30T06:00:00+00:00
12,1,4757,4744,4744,217,0.32813061100023333,2023-07-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2023-06-30T12:00:00+00:00
12,2,9501,4571,4450,217,0.7118350889995781,2024-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,2023-12-31T12:00:00+00:00
12,3,13951,4662,4662,217,0.789795339000193,2024-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,2024-06-30T12:00:00+00:00
24,1,4646,4719,4719,96,0.1465558530017006,2023-07-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2023-06-30T00:00:00+00:00
24,2,9365,4554,4435,96,0.3169402589992387,2024-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,2023-12-31T00:00:00+00:00
24,3,13800,4632,4632,96,0.43901482000001124,2024-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,2024-06-30T00:00:00+00:00
48,1,4620,4719,4719,85,0.1484552359997906,2023-07-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2023-06-30T00:00:00+00:00
48,2,9339,4554,4431,85,0.2505995259998599,2024-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,2023-12-31T00:00:00+00:00
48,3,13770,4632,4632,85,0.38425285599987546,2024-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,2024-06-30T00:00:00+00:00
72,1,4593,4719,4719,91,0.17780286500055809,2023-07-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2023-06-30T00:00:00+00:00
72,2,9312,4554,4430,91,0.3440799700001662,2024-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,2023-12-31T00:00:00+00:00
72,3,13742,4632,4632,91,0.3851713320000272,2024-07-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,2024-06-30T00:00:00+00:00
